AOG;Aircraft on Ground
AVI;Live Animals
CAO;Cargo Aircraft Only
COL;Cool Goods Temperature +2°C to +8°C
COM;Company Mail
CRT;Control Room Temperature +15°C to +25°C
DIP;Diplomatic Mail
DGR;Dangerous Goods
ELI;Lithium Ion Batteries
ELM;Lithium Metal Batteries
ERT;Extended Room Temperature +2°C to +25°C
FRO;Frozen Goods Temperature -10°C or below
GEN;General Cargo
HEG;Hatching Eggs
HUM;Human Remains in Coffin
LHO;Living Human Organs/Blood
MAL;Mail
MUW;Munitions of War
PEF;Flowers
PEM;Meat
PEP;Fruits and Vegetables
PER;Perishable Cargo
PES;Fish/Seafood
PIL;Pharmaceuticals
PRI;Priority
QRT;Quick Ramp Transfer
REQ;Excepted Quantities of Dangerous Goods
SWP;Sporting Weapons
VAL;Valuable Cargo
VUN;Vulnerable Cargo